Comarca;Coeficient de generacio (kg/hab/dia;abocador;incineradora;tractament mecanic i biologic;recollida selectiva;total

Alt Camp;1,36;0;7.851;4.645;9.343;21.839
Alt Empordà;2,18;62.217;0;7.921;41.195;111.332
Alt Penedès;1,40;29.524;0;1.922;23.036;54.481
Alt Urgell;1,33;4.128;0;767;4.931;9.827
Alta Ribagorça;1,46;1.203;0;0;831;2.034
Anoia;1,45;39.562;0;2.136;20.987;62.686
Aran;2,68;5.272;0;0;4.508;9.780
Bages;1,25;44.281;0;0;35.482;79.763
Baix Camp;1,53;366;43.427;17.361;43.208;104.361
Baix Ebre;1,46;24.823;0;0;16.756;41.579
Baix Empordà;2,28;47.160;0;16.971;46.535;110.666
Baix Llobregat ;1,25;42.108;2.626;190.251;136.206;371.191
Baix Penedès;1,79;8.931;551;35.570;20.788;65.839
Barcelonès ;1,23;58.736;29.421;591.569;329.430;1.009.156
Berguedà;1,34;12.862;0;0;6.201;19.063
Cerdanya;1,73;8.155;0;0;3.005;11.160
Conca de Barberà;1,47;5.355;0;0;5.420;10.776
Garraf;1,65;56.797;0;0;32.029;88.826
Garrigues;0,98;4.812;0;0;1.958;6.769
Garrotxa;1,39;14.986;0;0;13.519;28.505
Gironès;1,21;14.019;30.365;77;38.606;83.066
Maresme ;1,55;6.477;0;131.355;112.808;250.640
Moianès;1,55;2.834;0;657;4.035;7.527
Montsià;1,35;16.498;0;0;16.823;33.321
Noguera;1,15;11.745;0;0;4.533;16.278
Osona;1,18;3.991;0;22.777;40.893;67.661
Pallars Jussà;1,44;4.380;0;0;2.619;7.000
Pallars Sobirà;1,86;2.165;0;0;2.564;4.728
Pla d'Urgell;1,14;8.505;0;0;6.754;15.259
Pla de l'Estany;1,29;9.329;0;0;5.591;14.920
Priorat;1,25;2.118;0;0;2.147;4.265
Ribera d'Ebre;1,25;5.099;0;0;5.013;10.112
Ripollès;1,50;7.911;0;0;5.814;13.724
Segarra;1,09;4.224;0;0;4.834;9.057
Segrià;1,17;63.534;0;0;25.431;88.965
Selva;1,85;8.861;0;65.006;39.540;113.407
Solsonès;1,42;234;0;4.149;2.519;6.901
Tarragonès;1,68;6.902;93.919;1;52.770;153.592
Terra Alta;1,00;1.940;0;0;2.314;4.254
Urgell;1,29;10.278;0;0;6.621;16.900
Vallès Occidental;1,13;2.720;773;229.420;142.546;375.459
Vallès Oriental;1,26;6.202;0;108.612;71.021;185.835
Catalunya;1,39;671.245;208.933;1.431.166;1.535.780;3.847.124
Metropolità;1,25;116.509;32.820;1.251.864;793.477;2.194.671
Comarques Gironines;1,76;164.482;30.365;89.975;190.799;475.621
Camp de Tarragona;1,58;14.741;145.197;22.007;112.888;294.832
Terres de l'Ebre;1,36;48.361;0;0;40.906;89.267
Ponent;1,16;103.098;0;0;50.131;153.229
Comarques Centrals;1,24;64.628;0;27.899;88.597;181.123
Alt Pirineu i Aran;1,70;25.304;0;767;18.458;44.529
Penedès;1,58;134.123;551;38.654;95.906;269.234
